user_id,name,gallery_image_count,gallery_images,test_image_count,is_new,enrolled_at_utc
demo_lfw_Allyson_Felix,Allyson_Felix,3,Allyson_Felix_0005.jpg;Allyson_Felix_0004.jpg;Allyson_Felix_0003.jpg,2,False,2026-09-11T13:56:46.195014+00:00
demo_lfw_Ana_Guevara,Ana_Guevara,3,Ana_Guevara_0005.jpg;Ana_Guevara_0001.jpg;Ana_Guevara_0003.jpg,2,False,2026-09-11T13:56:46.353691+00:00
demo_lfw_Ashanti,Ashanti,3,Ashanti_0002.jpg;Ashanti_0004.jpg;Ashanti_0005.jpg,2,False,2026-09-11T13:56:46.644849+00:00
demo_lfw_Bertie_Ahern,Bertie_Ahern,3,Bertie_Ahern_0003.jpg;Bertie_Ahern_0005.jpg;Bertie_Ahern_0001.jpg,2,False,2026-09-11T13:56:46.836000+00:00
demo_lfw_Britney_Spears,Britney_Spears,3,Britney_Spears_0004.jpg;Britney_Spears_0007.jpg;Britney_Spears_0001.jpg,2,False,2026-09-11T13:56:46.919934+00:00
demo_lfw_Christine_Baumgartner,Christine_Baumgartner,3,Christine_Baumgartner_0002.jpg;Christine_Baumgartner_0001.jpg;Christine_Baumgartner_0004.jpg,2,False,2026-09-11T13:56:47.002537+00:00
demo_lfw_Claudia_Pechstein,Claudia_Pechstein,3,Claudia_Pechstein_0004.jpg;Claudia_Pechstein_0003.jpg;Claudia_Pechstein_0002.jpg,2,False,2026-09-11T13:56:47.194644+00:00
demo_lfw_David_Trimble,David_Trimble,3,David_Trimble_0004.jpg;David_Trimble_0001.jpg;David_Trimble_0003.jpg,2,False,2026-09-11T13:56:47.320694+00:00
demo_lfw_George_W_Bush,George_W_Bush,2,George_W_Bush_0052.jpg;George_W_Bush_0330.jpg;George_W_Bush_0026.jpg,2,False,2026-09-11T13:56:47.441550+00:00
demo_lfw_Grant_Hackett,Grant_Hackett,3,Grant_Hackett_0002.jpg;Grant_Hackett_0003.jpg;Grant_Hackett_0001.jpg,2,False,2026-09-11T13:56:47.545131+00:00
demo_lfw_Igor_Ivanov,Igor_Ivanov,3,Igor_Ivanov_0020.jpg;Igor_Ivanov_0013.jpg;Igor_Ivanov_0012.jpg,2,False,2026-09-11T13:56:47.635338+00:00
demo_lfw_John_Allen_Muhammad,John_Allen_Muhammad,3,John_Allen_Muhammad_0011.jpg;John_Allen_Muhammad_0010.jpg;John_Allen_Muhammad_0006.jpg,2,False,2026-09-11T13:56:47.742631+00:00
demo_lfw_Joseph_Biden,Joseph_Biden,3,Joseph_Biden_0005.jpg;Joseph_Biden_0003.jpg;Joseph_Biden_0001.jpg,2,False,2026-09-11T13:56:47.863136+00:00
demo_lfw_Juan_Pablo_Montoya,Juan_Pablo_Montoya,3,Juan_Pablo_Montoya_0008.jpg;Juan_Pablo_Montoya_0002.jpg;Juan_Pablo_Montoya_0001.jpg,2,False,2026-09-11T13:56:47.988067+00:00
demo_lfw_Keanu_Reeves,Keanu_Reeves,3,Keanu_Reeves_0005.jpg;Keanu_Reeves_0007.jpg;Keanu_Reeves_0006.jpg,2,False,2026-09-11T13:56:48.152143+00:00
demo_lfw_Larry_Brown,Larry_Brown,3,Larry_Brown_0005.jpg;Larry_Brown_0004.jpg;Larry_Brown_0002.jpg,2,False,2026-09-11T13:56:48.297189+00:00
demo_lfw_Lucy_Liu,Lucy_Liu,3,Lucy_Liu_0004.jpg;Lucy_Liu_0003.jpg;Lucy_Liu_0005.jpg,2,False,2026-09-11T13:56:48.410846+00:00
demo_lfw_Naomi_Watts,Naomi_Watts,3,Naomi_Watts_0022.jpg;Naomi_Watts_0001.jpg;Naomi_Watts_0014.jpg,2,False,2026-09-11T13:56:48.563114+00:00
